SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
optimem_plate,A1,09999999,B3,11.4,optimem
optimem_plate,A1,09999999,B4,11.4,optimem
optimem_plate,A1,09999999,B5,11.4,optimem
optimem_plate,A1,09999999,B6,11.4,optimem
optimem_plate,A1,09999999,C3,11.4,optimem
optimem_plate,A1,09999999,C4,11.4,optimem
optimem_plate,A1,09999999,C5,11.4,optimem
optimem_plate,A1,09999999,C6,11.4,optimem
optimem_plate,A1,09999999,D3,11.4,optimem
optimem_plate,A1,09999999,D4,11.4,optimem
optimem_plate,A1,09999999,D5,11.4,optimem
optimem_plate,A1,09999999,D6,11.4,optimem
optimem_plate,A1,09999999,E3,11.4,optimem
optimem_plate,A1,09999999,E4,11.4,optimem
optimem_plate,A1,09999999,E5,11.4,optimem
optimem_plate,A1,09999999,E6,11.4,optimem
optimem_plate,A1,09999999,F3,11.4,optimem
optimem_plate,A1,09999999,F4,11.4,optimem
